City_ID,City_Name,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
934322,Mahébourg,20,MU,1592166366,83,-20.41,57.7,71.87,8.05
1503726,Kharp,100,RU,1592166366,73,66.8,65.81,41.2,7.72
2020838,Lensk,0,RU,1592166366,91,60.73,114.93,50.86,3.09
2456917,Goundam,12,ML,1592166367,12,16.41,-3.67,104.92,2.71
556268,Ostrovnoy,99,RU,1592166367,57,68.05,39.51,59.49,11.72
1855540,Naze,20,JP,1592166355,100,28.37,129.48,79.07,10.29
1255925,Siwāna,71,IN,1592166367,43,25.63,72.42,94.86,17.98
2729907,Longyearbyen,75,SJ,1592166367,93,78.22,15.64,35.87,12.75
3837213,San Juan,0,AR,1592166367,29,-31.54,-68.54,62.46,5.3
3577430,Road Town,40,VG,1592166191,62,18.42,-64.62,88.07,9.17
5746545,Portland,75,US,1592166155,55,45.52,-122.68,66.27,8.05
538685,Kurmanayevka,0,RU,1592166368,83,52.51,52.07,50.88,7.78
1788852,Xining,100,CN,1592166368,69,36.62,101.77,58.98,1.32
1106677,Bambous Virieux,20,MU,1592166344,83,-20.34,57.76,71.87,8.05
2611755,Thisted,0,DK,1592166368,78,56.96,8.69,62.28,6.82
2023333,Kachug,0,RU,1592166368,73,53.96,105.88,54.32,1.1
5563839,Fortuna,20,US,1592166368,63,40.6,-124.16,72.27,16.11
3430863,Mar del Plata,0,AR,1592166369,46,-38,-57.56,54.27,9.17
3495137,Pedernales,40,DO,1592166369,66,18.04,-71.74,89.87,13.87
1265821,Kuchera,94,IN,1592166369,18,26.98,73.97,93.24,1.25
2112309,Katsuura,75,JP,1592166369,83,35.13,140.3,77.27,20.8
1513491,Yangi Marg`ilon,100,UZ,1592166369,31,40.43,71.72,77.27,4.7
4172383,Sebring,90,US,1592166369,66,27.5,-81.44,90.27,12.75
3448903,São João da Barra,40,BR,1592166369,83,-21.64,-41.05,75.47,18.34
2460489,Bandiagara,41,ML,1592166370,17,14.35,-3.61,103.12,7.58
1490256,Talnakh,99,RU,1592166370,76,69.49,88.4,48.47,11.18
6149996,Smithers,75,CA,1592166370,54,54.78,-127.17,57.47,2.24
780687,Berlevåg,68,NO,1592166359,76,70.86,29.09,50.27,6.93
4031637,Lavrentiya,94,RU,1592166370,66,65.58,-171,49.33,4.07
1506268,Gornopravdinsk,27,RU,1592166370,80,60.05,69.9,43.25,4.38
5367788,Lompoc,0,US,1592166088,68,34.64,-120.46,70.27,19.46
5142056,Utica,90,US,1592166370,48,43.1,-75.23,62.87,6.93
517958,Novosheshminsk,0,RU,1592166371,83,55.07,51.23,50.07,2.53
3661944,Tefé,40,BR,1592166371,74,-3.35,-64.71,86.27,3.36
2541479,Nador,0,MA,1592166295,53,35.17,-2.93,71.87,17.22
1735106,George Town,20,MY,1592166371,88,5.41,100.34,82.27,2.24
1819729,Hong Kong,55,HK,1592166331,88,22.29,114.16,81.27,8.99
5377995,Norwalk,1,US,1592166156,47,33.9,-118.08,83.26,9.17
2070998,Geraldton,3,AU,1592166372,93,-28.77,114.6,52.07,9.17
3894426,Coyhaique,20,CL,1592166372,75,-45.58,-72.07,46.67,2.24
6164499,The Pas,1,CA,1592166372,53,53.83,-101.25,75.47,25.28
2180815,Tuatapere,100,NZ,1592166319,83,-46.13,167.68,39.27,3.0
1253237,Verāval,99,IN,1592166372,73,20.9,70.37,86.07,4.97
